id_original,id_souldata,nombre_tripadvisor,nombre_souldata,link,score,n_reviews,description,categoria,subcategoría,departamento,ciudad,entra_analisis,entra_global,lat,long,geo_manual
180,179,El Relincho,El Relincho,/Attraction_Review-g316035-d2520987-Reviews-El_Relincho-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.0,94,Horseback Riding Tours,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Chaltén,1.0,1.0,-49.325901,-72.890579,0
181,180,Chacra Don Neno,Chacra Don Neno,/Attraction_Review-g1673177-d10200875-Reviews-Chacra_Don_Neno-Los_Antiguos_Province_of_Santa_Cruz_Patagonia.html,4.5,35,Speciality & Gift Shops â€¢ Farms,Prestadores turísticos,Comercio y gastronomía,,,,,-46.547874,-71.635422,0
182,181,EBBikes,EBBikes,/Attraction_Review-g312851-d17735856-Reviews-EBBikes-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,16,Adrenaline & Extreme Tours â€¢ Taxis & Shuttles,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
183,182,El Chalten Anglers,El Chalten Anglers,/Attraction_Review-g316035-d4703341-Reviews-El_Chalten_Anglers-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.5,42,Fishing Charters & Tours,Prestadores turísticos,Receptivos,,,,,-49.3314941,-72.886325,1
184,183,Agencia Taxi y Remis El Puma,Agencia Taxi y Remis El Puma,/Attraction_Review-g312851-d15348121-Reviews-Agencia_Taxi_y_Remis_El_Puma-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,12,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.3403099,-72.2737396,1
185,184,Taxi Condor Agencia de Remis,Taxi Cóndor,/Attraction_Review-g312851-d10721441-Reviews-Taxi_Condor_Agencia_de_Remis-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,58,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.337643,-72.266739,0
186,185,Baft,Baft,/Attraction_Review-g312851-d7106827-Reviews-Baft-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,37,"4WD, ATV & Off-Road Tours â€¢ Adrenaline & Extreme Tours",Prestadores turísticos,Receptivos,,,,,-50.3374926,-72.2649589,1
187,186,Cabalgata en Patagonia,Cabalgata en Patagonia,/Attraction_Review-g312851-d8445021-Reviews-Cabalgata_en_Patagonia-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,42,Sightseeing Tours â€¢ Horse-Drawn Carriage Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
188,187,Transporte LAS LENGAS,Transporte LAS LENGAS,/Attraction_Review-g316035-d11912104-Reviews-Transporte_LAS_LENGAS-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.0,114,Taxis & Shuttles,Prestadores turísticos,Transporte,Lago Argentino,El Chaltén,1.0,1.0,-49.3322303,-72.8829881,1
189,188,MCR Servicios Turisticos,MCR Servicios Turísticos,/Attraction_Review-g312851-d19787506-Reviews-MCR_Servicios_Turisticos-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,13,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.337969,-72.2647982,1
